Plot Title: 12 ,,,,,,,,
#,"Time, GMT-08:00","Temp, °F()","Temp, °C()",Coupler Detached(),Coupler Attached(),Host Connected(),Stopped(),End Of File()
1,8/11/2011 7:31,73.558,23.08777778,,,,,
2,8/11/2011 7:31,,,Logged,,,,
3,8/11/2011 8:31,73.429,23.08777778,,,,,
4,8/11/2011 9:31,71.748,-17.77777778,,,,,
5,8/11/2011 10:31,72.264,23.01611111,,,,,
6,8/11/2011 11:31,74.163,22.08222222,,,,,
7,8/11/2011 12:31,63.862,22.36888889,,,,,
8,8/11/2011 13:31,54.648,23.42388889,,,,,
9,8/11/2011 14:31,58.541,17.70111111,,,,,
10,8/11/2011 15:31,43.488,12.58222222,,,,,
11,8/11/2011 16:31,43.534,14.745,,,,,
12,8/11/2011 17:31,43.488,6.382222222,,,,,
13,8/11/2011 18:31,43.488,6.407777778,,,,,
14,8/11/2011 19:31,43.443,6.382222222,,,,,
15,8/11/2011 20:31,43.443,6.382222222,,,,,
16,8/11/2011 21:31,43.396,6.357222222,,,,,
17,8/11/2011 22:31,43.396,6.357222222,,,,,
18,8/11/2011 23:31,43.443,6.331111111,,,,,
19,8/12/2011 0:31,43.443,6.331111111,,,,,
20,8/12/2011 1:31,43.488,6.357222222,,,,,
21,8/12/2011 2:31,43.488,6.357222222,,,,,
22,8/12/2011 3:31,43.488,6.382222222,,,,,
23,8/12/2011 4:31,43.534,6.382222222,,,,,
24,8/12/2011 5:31,43.534,6.382222222,,,,,
25,8/12/2011 6:31,43.488,6.407777778,,,,,
26,8/12/2011 7:31,43.488,6.407777778,,,,,
27,8/12/2011 8:31,43.488,6.382222222,,,,,
28,8/12/2011 9:31,60.69,6.382222222,,,,,
29,8/12/2011 10:31,54.865,6.382222222,,,,,
30,8/12/2011 11:31,54.3,15.93888889,,,,,
31,8/12/2011 12:31,56.383,12.70277778,,,,,
32,8/12/2011 13:31,59.83,12.38888889,,,,,
33,8/12/2011 14:31,58.626,13.54611111,,,,,
34,8/12/2011 15:31,57.936,15.46111111,,,,,
35,8/12/2011 16:31,43.03,14.79222222,,,,,
36,8/12/2011 17:31,42.939,14.40888889,,,,,
37,8/12/2011 18:31,42.984,6.127777778,,,,,
38,8/12/2011 19:31,43.03,6.077222222,,,,,
39,8/12/2011 20:31,42.984,6.102222222,,,,,
40,8/12/2011 21:31,42.939,6.127777778,,,,,
41,8/12/2011 22:31,42.939,6.102222222,,,,,
42,8/12/2011 23:31,42.892,6.077222222,,,,,
43,8/13/2011 0:31,42.892,6.077222222,,,,,
44,8/13/2011 1:31,42.892,6.051111111,,,,,
45,8/13/2011 2:31,42.892,6.051111111,,,,,
46,8/13/2011 3:31,42.892,6.051111111,,,,,
47,8/13/2011 4:31,42.939,6.051111111,,,,,
48,8/13/2011 5:31,42.984,6.051111111,,,,,
49,8/13/2011 6:31,42.984,6.077222222,,,,,
50,8/13/2011 7:31,42.984,6.102222222,,,,,
51,8/13/2011 8:31,42.984,6.102222222,,,,,
52,8/13/2011 9:31,42.984,6.102222222,,,,,
53,8/13/2011 10:31,42.984,6.102222222,,,,,
54,8/13/2011 11:31,42.939,6.102222222,,,,,
55,8/13/2011 12:31,58.325,6.102222222,,,,,
56,8/13/2011 13:31,59.358,6.077222222,,,,,
57,8/13/2011 14:31,60.174,14.625,,,,,
58,8/13/2011 15:31,42.892,15.19888889,,,,,
59,8/13/2011 16:31,42.892,15.65222222,,,,,
60,8/13/2011 17:31,42.892,6.051111111,,,,,
61,8/13/2011 18:31,42.892,6.051111111,,,,,
62,8/13/2011 19:31,42.892,6.051111111,,,,,
63,8/13/2011 20:31,42.892,6.051111111,,,,,
64,8/13/2011 21:31,42.892,6.051111111,,,,,
65,8/13/2011 22:31,42.892,6.051111111,,,,,
66,8/13/2011 23:31,42.892,6.051111111,,,,,
67,8/14/2011 0:31,42.892,6.051111111,,,,,
68,8/14/2011 1:31,42.847,6.051111111,,,,,
69,8/14/2011 2:31,42.892,6.051111111,,,,,
70,8/14/2011 3:31,42.847,6.026111111,,,,,
71,8/14/2011 4:31,42.847,6.051111111,,,,,
72,8/14/2011 5:31,42.847,6.026111111,,,,,
73,8/14/2011 6:31,42.892,6.026111111,,,,,
74,8/14/2011 7:31,42.847,6.026111111,,,,,
75,8/14/2011 8:31,42.892,6.051111111,,,,,
76,8/14/2011 9:31,57.936,6.026111111,,,,,
77,8/14/2011 10:31,57.893,6.051111111,,,,,
78,8/14/2011 11:31,55.69,14.40888889,,,,,
79,8/14/2011 12:31,56.469,14.385,,,,,
80,8/14/2011 13:31,55.081,13.16111111,,,,,
81,8/14/2011 14:31,60.132,13.59388889,,,,,
82,8/14/2011 15:31,59.056,12.82277778,,,,,
83,8/14/2011 16:31,43.945,15.62888889,,,,,
84,8/14/2011 17:31,43.808,15.03111111,,,,,
85,8/14/2011 18:31,43.808,6.636111111,,,,,
86,8/14/2011 19:31,43.808,6.56,,,,,
87,8/14/2011 20:31,43.808,6.56,,,,,
88,8/14/2011 21:31,43.808,6.56,,,,,
89,8/14/2011 22:31,43.808,6.56,,,,,
90,8/14/2011 23:31,43.808,6.56,,,,,
91,8/15/2011 0:31,43.808,6.56,,,,,
92,8/15/2011 1:31,43.808,6.56,,,,,
93,8/15/2011 2:31,43.808,6.56,,,,,
94,8/15/2011 3:31,43.808,6.56,,,,,
95,8/15/2011 4:31,43.808,6.56,,,,,
96,8/15/2011 5:31,43.808,6.56,,,,,
97,8/15/2011 6:31,43.808,6.56,,,,,
98,8/15/2011 7:31,43.808,6.56,,,,,
99,8/15/2011 8:31,43.808,6.56,,,,,
100,8/15/2011 9:31,43.808,6.56,,,,,
101,8/15/2011 10:31,43.808,6.56,,,,,
102,8/15/2011 11:31,43.808,6.56,,,,,
103,8/15/2011 12:31,56.079,6.56,,,,,
104,8/15/2011 13:31,54.037,6.56,,,,,
105,8/15/2011 14:31,54.561,13.37722222,,,,,
106,8/15/2011 15:31,52.992,12.24277778,,,,,
107,8/15/2011 16:31,53.384,12.53388889,,,,,
