Plot Title: 27,,
#,"Date Time, GMT-08:00","Temp, °C"
20,3/19/2012 9:49,5.488
21,3/19/2012 10:49,5.539
22,3/19/2012 11:49,5.539
23,3/19/2012 12:49,5.437
24,3/19/2012 13:49,5.437
25,3/19/2012 14:49,5.462
26,3/19/2012 15:49,5.462
27,3/19/2012 16:49,5.488
28,3/19/2012 17:49,5.488
29,3/19/2012 18:49,5.488
30,3/19/2012 19:49,5.488
31,3/19/2012 20:49,5.514
32,3/19/2012 21:49,5.488
33,3/19/2012 22:49,5.488
34,3/19/2012 23:49,5.539
35,3/20/2012 0:49,5.514
36,3/20/2012 1:49,5.437
37,3/20/2012 2:49,5.437
38,3/20/2012 3:49,5.411
39,3/20/2012 4:49,5.411
40,3/20/2012 5:49,5.411
41,3/20/2012 6:49,5.462
42,3/20/2012 7:49,5.488
43,3/20/2012 8:49,5.488
44,3/20/2012 9:49,5.488
45,3/20/2012 10:49,5.514
46,3/20/2012 11:49,5.514
47,3/20/2012 12:49,5.539
48,3/20/2012 13:49,5.462
49,3/20/2012 14:49,5.462
50,3/20/2012 15:49,5.462
51,3/20/2012 16:49,5.462
52,3/20/2012 17:49,5.462
53,3/20/2012 18:49,5.462
54,3/20/2012 19:49,5.488
55,3/20/2012 20:49,5.488
56,3/20/2012 21:49,5.488
57,3/20/2012 22:49,5.514
58,3/20/2012 23:49,5.539
59,3/21/2012 0:49,5.539
60,3/21/2012 1:49,5.437
61,3/21/2012 2:49,5.437
62,3/21/2012 3:49,5.488
63,3/21/2012 4:49,5.437
64,3/21/2012 5:49,5.462
65,3/21/2012 6:49,5.462
66,3/21/2012 7:49,5.462
67,3/21/2012 8:49,5.514
68,3/21/2012 9:49,5.514
69,3/21/2012 10:49,5.488
70,3/21/2012 11:49,5.514
71,3/21/2012 12:49,5.539
72,3/21/2012 13:49,5.539
73,3/21/2012 14:49,5.462
74,3/21/2012 15:49,5.437
75,3/21/2012 16:49,5.437
76,3/21/2012 17:49,5.437
77,3/21/2012 18:49,5.437
78,3/21/2012 19:49,5.437
79,3/21/2012 20:49,5.488
80,3/21/2012 21:49,5.514
81,3/21/2012 22:49,5.539
82,3/21/2012 23:49,5.514
83,3/22/2012 0:49,5.539
84,3/22/2012 1:49,5.539
85,3/22/2012 2:49,5.514
86,3/22/2012 3:49,5.488
87,3/22/2012 4:49,5.488
88,3/22/2012 5:49,5.514
89,3/22/2012 6:49,5.488
90,3/22/2012 7:49,5.462
91,3/22/2012 8:49,5.462
92,3/22/2012 9:49,5.514
93,3/22/2012 10:49,5.514
94,3/22/2012 11:49,5.514
95,3/22/2012 12:49,5.539
96,3/22/2012 13:49,5.565
97,3/22/2012 14:49,5.539
98,3/22/2012 15:49,5.514
